group	SYMBOL.Mm	Species
Brain	Arhgef4	Rat
Brain	Mras	Rat
Kidney	Ctsh	Rat
Stomach	Krt13	Rat
Esophagus	Krt13	Rat
Stomach	Krt15	Rat
Esophagus	Krt15	Rat
Brain	Omg	Rat
Liver	Klkb1	Rat
Liver	Xylb	Rat
Kidney	Xylb	Rat
Brain	Map1a	Rat
Brain	Phactr1	Rat
Brain	Dlgap3	Rat
Brain	Lrp11	Rat
Ileum	Trbc1	Rat
Ileum	Trbc2	Rat
Ileum	Slc39a4	Rat
Duodenum	Slc39a4	Rat
Jejunum	Slc39a4	Rat
Esophagus	Csrp3	Rat
Heart	Csrp3	Rat
Duodenum	Anxa10	Rat
Jejunum	Anxa10	Rat
Stomach	Anxa10	Rat
Colon	Gne	Rat
Brain	Adgrb2	Rat
Kidney	Bdh2	Rat
Stomach	Pgc	Rat
Brain	Celf4	Rat
Kidney	Mgll	Rat
Colon	Fxyd4	Rat
Kidney	Ddah1	Rat
Brain	Zic1	Rat
Liver	Aldh7a1	Rat
Kidney	Aldh7a1	Rat
Liver	Hagh	Rat
Kidney	Hagh	Rat
Brain	Peg3	Rat
Esophagus	Myoz2	Rat
Heart	Myoz2	Rat
Kidney	Col4a4	Rat
Liver	Crem	Rat
Liver	Aldh8a1	Rat
Kidney	Aldh8a1	Rat
Kidney	Osgin1	Rat
Liver	Osgin1	Rat
Liver	Hp	Rat
Brain	Golga7b	Rat
Brain	Scg2	Rat
Liver	Igfals	Rat
Liver	F12	Rat
Esophagus	Tnnc2	Rat
Quadriceps	Tnnc2	Rat
Quadriceps	Smtnl2	Rat
Esophagus	Smtnl2	Rat
Brain	Coro2b	Rat
Kidney	Slc34a1	Rat
Liver	Aox1	Rat
Brain	Slc32a1	Rat
Colon	Pgm5	Rat
Ileum	Vil1	Rat
Duodenum	Vil1	Rat
Jejunum	Vil1	Rat
Brain	Stxbp1	Rat
Kidney	Ces1d	Rat
Liver	Ces1d	Rat
Duodenum	Tm4sf20	Rat
Jejunum	Tm4sf20	Rat
Kidney	Tmem174	Rat
Brain	Bcat1	Rat
Liver	Rbp4	Rat
Kidney	Rhcg	Rat
Brain	Pja2	Rat
Heart	Gnb3	Rat
Kidney	Ptgds	Rat
Brain	Ptgds	Rat
Kidney	Umod	Rat
Liver	Ghr	Rat
Ileum	Ccl19	Rat
Ileum	Acap1	Rat
Pancreas	Gp2	Rat
Brain	Rcn2	Rat
Kidney	Pyroxd2	Rat
Kidney	Ctsa	Rat
Duodenum	Dpep1	Rat
Jejunum	Dpep1	Rat
Ileum	Dpep1	Rat
Ileum	Cd3g	Rat
Brain	Rap1gds1	Rat
Brain	Gprc5b	Rat
Brain	Aqp4	Rat
Ileum	Cd3e	Rat
Kidney	Kyat1	Rat
Brain	P3h3	Rat
Esophagus	Ankrd23	Rat
Quadriceps	Ankrd23	Rat
Esophagus	Gm42417	Rat
Quadriceps	Gm42417	Rat
Brain	Nptxr	Rat
Brain	Slc1a3	Rat
Liver	Cyp1a2	Rat
Brain	Dlgap1	Rat
Quadriceps	Agl	Rat
Esophagus	Casq2	Rat
Heart	Casq2	Rat
Kidney	Slc6a18	Rat
Brain	Podxl2	Rat
Brain	Ttr	Rat
Liver	Ttr	Rat
Brain	Tcea2	Rat
Liver	F2	Rat
Brain	Cx3cl1	Rat
Liver	Uox	Rat
Liver	Tat	Rat
Brain	Apba2	Rat
Heart	Ppp1r14c	Rat
Brain	Gabrd	Rat
Brain	Clstn1	Rat
Brain	Slc22a17	Rat
Brain	Mbp	Rat
Brain	Enc1	Rat
Liver	Hhex	Rat
Quadriceps	Rtn2	Rat
Esophagus	Tmem52	Rat
Quadriceps	Tmem52	Rat
Kidney	Slc22a2	Rat
Brain	Dner	Rat
Liver	Gulo	Rat
Brain	Ngef	Rat
Liver	Habp2	Rat
Liver	Phyhd1	Rat
Kidney	Phyhd1	Rat
Brain	Stmn1	Rat
Liver	Slc38a3	Rat
Brain	Cmtm5	Rat
Esophagus	Ide	Rat
Heart	Pla2g5	Rat
Esophagus	Dsg1c	Rat
Esophagus	Dsg1a	Rat
Esophagus	Dsg1b	Rat
Brain	Pnmal2	Rat
Heart	Fhl2	Rat
Esophagus	Tppp3	Rat
Liver	Qprt	Rat
Kidney	Qprt	Rat
Heart	Myh7	Rat
Brain	Pianp	Rat
Heart	Ryr2	Rat
Ileum	Fcna	Rat
Kidney	Slc16a14	Rat
Brain	Pgm2l1	Rat
Colon	Hsd11b2	Rat
Kidney	Hsd11b2	Rat
Brain	Syngr1	Rat
Kidney	4833439L19Rik	Rat
